conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_comment,auto_label,conf_score
1922943988211822951,2025-05-15 13:56:46+00:00,0,@bbbbbima_ @chrstiinaa_ Tapi buat gw tuh kadang ada enaknya punya kesempatan VC ke member semacam Gita kalo momennya tepat Pas Indo mau lawan Aussie under Patrick Kluivert gw bisa menggali sudut pandang dia sbg suporter tepat H-3 kick-off,1923014699341271271,,bbbbbima_,in,,0,0,0,https://x.com/idyllic48bola/status/1923014699341271271,1127564263,idyllic48bola,buat tuh kadang enak sempat member macam gita kalo momen tepat pas indo mau lawan aussie under patrick kluivert gali sudut pandang sbg suporter tepat kick off,negative,0.7144050598144531
1923008695585198322,2025-05-15 13:39:32+00:00,24,@LaMasia_idn sekilas mukanya mirip patrick kluivert minmas ,1923010360975491524,,LaMasia_idn,in,,0,1,0,https://x.com/SisiGelapBarca/status/1923010360975491524,1909228084114673664,SisiGelapBarca,kilas muka mirip patrick kluivert minmas,negative,0.6301100254058838
1923004088205132129,2025-05-15 13:14:36+00:00,0,Nasib Marselino Ferdinan Jelang Laga Indonesia Vs China Bakal Dicoret Patrick Kluivert https://t.co/ffZZXLxR3D,1923004088205132129,,,in,,0,0,0,https://x.com/harapanrakyat_/status/1923004088205132129,239873274,harapanrakyat_,nasib marselino ferdinan jelang laga indonesia china bakal coret patrick kluivert,negative,0.9981250166893005
1922990567006314930,2025-05-15 12:20:54+00:00,0,Eliano berhasil mencetak gol cantik penentu kemenangan PEC Zwolle di menit 79. Ini memberi sinyal kepada Patrick Kluivert agar Eliano masuk dalam skuat utama timnas vs China. Menurut kalian lob? #BolalobFootball,1922990570936361120,,Bolalob,in,,0,0,0,https://x.com/Bolalob/status/1922990570936361120,141161798,Bolalob,eliano hasil cetak gol cantik menang pec zwolle menit beri sinyal patrick kluivert eliano masuk skuat utama timnas china kalian lob,negative,0.998017430305481
1922989086580801724,2025-05-15 12:15:00+00:00,0,Adu Gaji Pelatih China Branko Ivankovic dengan Patrick Kluivert Bak Langit dan Bumi https://t.co/84TDzlD5AF,1922989086580801724,,,in,,0,0,0,https://x.com/okezonenews/status/1922989086580801724,47274731,okezonenews,adu gaji latih china branko ivankovic patrick kluivert bak langit bumi,negative,0.9983744621276855
1922924726915072354,2025-05-15 07:59:15+00:00,0,Patrick Kluivert lebih memilih berada di Belanda ketimbang memantau langsung pertandingan Liga 1. Situasi ini mengingatkan pada sosok Juergen Klinsmann ketika melatih Korea Selatan. 🇮🇩🇰🇷 https://t.co/x2Bc9w1GTb,1922924726915072354,,,in,,0,0,0,https://x.com/tribunSUPERBALL/status/1922924726915072354,626306017,tribunSUPERBALL,patrick kluivert lebih pilih belanda ketimbang pantau langsung tanding liga situasi ingat sosok juergen klinsmann latih korea selatan,negative,0.9957887530326843
1922886562615861589,2025-05-15 05:27:36+00:00,0,Media Korea Selatan Tuding Patrick Kluivert Pemalas Disamakan dengan Juergen Klinsmann https://t.co/FiHUYPwbZm lewat @tribunnews,1922886562615861589,,,in,,0,0,0,https://x.com/tribunmedan/status/1922886562615861589,142305302,tribunmedan,media korea selatan tuding patrick kluivert malas sama juergen klinsmann lewat,negative,0.9923703670501709
1922856463019528386,2025-05-15 03:28:00+00:00,0,Media Negeri Ginseng itu menyoroti soal Patrick Kluivert yang malah menonton pertandingan El Clasico. Mereka juga membahas soal permintaan Yunus Nusi yang beberapa waktu lalu berharap agar Patrick Kluivert bisa mempersiapkan Timnas Indonesia lebih cepat https://t.co/odOZPEQsKC,1922856463019528386,,,in,,0,0,0,https://x.com/BolaSportcom/status/1922856463019528386,78239324,BolaSportcom,media negeri ginseng sorot soal patrick kluivert malah tonton tanding clasico bahas soal minta yunus nus beberapa waktu harap patrick kluivert siap timnas indonesia lebih cepat,negative,0.9932711720466614
1922689616198390255,2025-05-14 16:25:01+00:00,1,Ketua Umum (Ketum) PSSI Erick Thohir mengobarkan semangat. Ini jelang dua laga krusial Timnas Indonesia di Putaran Ketiga Grup C Kualifikasi Piala Dunia 2026 zona Asia. Tim besutan Patrick Kluivert akan menjamu China di Stadion Utama Gelora Bung Karno (SUGBK) Senayan Jkrt Pst. https://t.co/iA26ZIALyg,1922689616198390255,https://pbs.twimg.com/media/Gq7DXsIWYAA_A8O.jpg,,in,,0,0,0,https://x.com/lovermerosit/status/1922689616198390255,206907967,lovermerosit,ketua umum tum pssi erick thohir obar semangat jelang laga krusial timnas indonesia putar tiga grup kualifikasi piala dunia zona asia tim besut patrick kluivert china stadion utama gelora bung karno sugbk senayan jkrt pst,negative,0.9974799752235413
1922665272713814391,2025-05-14 14:48:17+00:00,0,TERUNGKAP! PELATIH TIMNAS PATRICK KLUIVERT SUDAH PREDIKSI POSISI TERBAIK JOEY PELUPESSY SEJAK DINI! https://t.co/tZhtKV4jjH,1922665272713814391,https://pbs.twimg.com/amplify_video_thumb/1922664645376217088/img/5i78_Tgg22JFjT30.jpg,,in,,0,0,0,https://x.com/SKIPSTEPSPORT/status/1922665272713814391,1896585657910538240,SKIPSTEPSPORT,ungkap latih timnas patrick kluivert prediksi posisi baik joey pelupessy sejak dini,negative,0.9895097017288208
